block idx,date start,challenge item name,lexical item name,linguistic category,E/M/H,noise,un/trained,difficulty rating,distractor num,foil 1,foil 2,foil 3,foil 4,foil 5,accuracy,rt (sec),incorrect-foil name,incorrect-foil type,incorrect-foil p-type,
0,2017-01-06 12:15:02,roof,roof,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,target,p2,,,1,3.1711,,,,
0,2017-01-06 12:15:02,glass,glass,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,target,p2,,,1,1.5805,,,,
0,2017-01-06 12:15:02,a roof,roof,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,p2,target,s2,,,1,1.9032,,,,
0,2017-01-06 12:15:02,pig,pig,noun_1syll_word,Word,NoNoise,0,0.1322,2,p3,target,s1,,,1,1.5623,,,,
0,2017-01-06 12:15:02,The gun,gun,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,target,p1,s1,,,1,1.8996,,,,
0,2017-01-06 12:15:02,football,football,noun_2syll_word,Word,NoNoise,0,0.1,2,s2,target,p3,,,1,2.1145,,,,
0,2017-01-06 12:15:02,The page,page,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,target,p2,s1,,,1,2.0513,,,,
0,2017-01-06 12:15:02,roll,roll,noun_1syll_word,Word,NoNoise,0,0.1322,2,p2,target,s2,,,1,1.8131,,,,
0,2017-01-06 12:15:02,hole (in a sock),hole,noun_1syll_word,Word,NoNoise,0,0.1322,2,s1,p2,target,,,1,1.6354,,,,
0,2017-01-06 12:15:02,The egg,egg,noun_1syll_phrase,Word,NoNoise,0,0.1322,2,target,s1,p3,,,0,4.1637,The hen,s1,assoc,
0,2017-01-06 12:15:02,fly,fly,noun_1syll_word,Word,NoNoise,0,0.1322,2,s2,p1,target,,,1,2.0601,,,,
0,2017-01-06 12:15:02,suit,suit,noun_1syll_word,Word,NoNoise,0,0.1322,2,target,s1,p1,,,1,2.0435,,,,
0,2017-01-06 12:15:02,bed,bed,noun_1syll_word,Word,NoNoise,0,0.1,2,target,p1,s1,,,0,4.4967,bread,p1,mp,
0,2017-01-06 12:15:02,smoke,smoke,noun_1syll_word,Word,NoNoise,0,0.1322,2,p3,target,s2,,,1,2.0631,,,,
0,2017-01-06 12:15:02,baby,baby,noun_2syll_word,Word,NoNoise,0,0.1,2,s2,target,p2,,,1,1.6969,,,,
